FAMILIA;SUBFAMILIA;PRODUCTO;MEDIDAS
Otros;SENSOR TEMPERATURA;SENSOR TEMPERATURA CHEVROLET CRUZE, SONIC (TX229);N/A
Tornillos;TORNILLO CAB;TORNILLO CAB GOTA COMBI 10-24 X 1.1/4;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA 8 X 2.1/2;N/A
Otros;"PUNTA PARA;"PUNTA PARA DESARMADOR PLANA;6-8 x 1"""|8-10 x 1"""|10-12 x 1"""|6-8 x 2"""|8-10 x 2"""|10-12 x 2"""|12-14 x 2"""
Tuercas;TUERCA INS;TUERCA INS NYLON NC 4-40;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB 8 X 3/8;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 3/8-16 X 5.1/2;N/A
Herramientas;"DADO HEX;"DADO HEX PARA ROSCAAR HANDY 5/16""-24 NF";N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M16 X 100;N/A
Otros;ROND PRESION;ROND PRESION EMP 3/4;N/A
Otros;PERNO RANURADO;PERNO RANURADO 3/16 x 1.3/8;N/A
Otros;TAQUETE TX;TAQUETE TX TROP GALAXY C 5/16 T 1/4-20 X 2.1/2 LARGO;N/A
Pijas;PIJA K-LATH;PIJA K-LATH BROCA EMP 8 X 3/4 GALAXY;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 7/16-14 X 3.1/2;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1/2 X 7;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 5/16-18 X 4.1/2;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 3/8 X 3/4;N/A
Tuercas;TUERCA MM;TUERCA MM FLANGE M16-2.00;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 5/8-11 X 4.1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX INOXIDABLE 304 FINA;10 - 32|1/4 - 28|5/16 - 24|3/8 - 24|1/2 - 20|5/8 - 18|3/4 - 16
Otros;Bobina ignicion;Bobina ignicion Dodge Atos (UF694);N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 5/16 X 2-1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 5/16-18 X 1.1/2;N/A
Tuercas;TUERCA RESORTE;TUERCA RESORTE;1/4 x 6|5/16 x 6|3/8 x 9.2|1/2 x 9.2
Pijas;PIJA TABLARROCA;PIJA TABLARROCA NF P-T-R NGRA 8 X 2.1/2;N/A
Otros;72 CASQUILLO;72 CASQUILLO 14-1.25 X 18-1.50;N/A
Otros;SENSOR OXIGENO;SENSOR OXIGENO FORD FUSION, MUSTANG, MAZDA 6 (07-15);N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1-8 X 5-1/2;N/A
Tornillos;Sensor cigüeñal;Sensor cigüeñal Chevrolet Chevy, TORNILLOnado, Corsa, 94-09 4Cil;N/A
Otros;#14 X;#14 X 15mm ACC EPDM/ACERO PLUS;N/A
Tornillos;"3/4-16 x;"3/4-16 x 3.344"" Kenworth MoTORNILLO Wheel Paccar Peterbilt K233-2871 ESP";N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA EMP 14 X 3/4 GALAXY;N/A
Otros;ROND PRESION;ROND PRESION EMP 1-1/4;N/A
Otros;Sensor maf;Sensor maf Ford Escape, Ranger, Explorer, Windstar, Sable, 00-07;N/A
Otros;44 CASQUILLO;44 CASQUILLO 12-1.75 X 5/8 NC;N/A
Varillas;"VARILLA B7-LARGO;"VARILLA B7-LARGO 1 MT 2""-8";N/A
Otros;"3-4-16x 4.187"";"3-4-16x 4.187"" Caja Remolque Rin Acero Rueda Trasera";N/A
Otros;OPRESOR SOCKET;OPRESOR SOCKET PUNTA COPA INOXIDABLE304 FINO;10-32 x 3/16|10-32 x 1/4|10-32 x 3/8|10-32 x 1/2|10-32 x 5/8|10-32 x 1-1/2|1/4-28 x 1/4|1/4-28 x 3/8|1/4-28 x 1/2
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 3/4-10 X 5.1/2;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON 1/4-20 X 3.1/2;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA KG 9/16;N/A
Otros;PERNO RANURADO;PERNO RANURADO 3/32 x 3/4;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 10 X 4;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA EMP 14 X 2-1/2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 1/2-13 X 1.1/4;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M5-0.80 X 12;N/A
Tornillos;INYECTORNILLO MPFI;INYECTORNILLO MPFI FORD FIESTA, IKON, KA, COURIER 1.6L 04-14;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 7/8-9 X 6;N/A
Otros;PERNO AGRICOLA;PERNO AGRICOLA 7/8 X 5-1/2;N/A
Otros;GRASERA TROP;GRASERA TROP 1/8 NPT 45;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M5-0.80 X 16;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 5/16-18 X 7;N/A
Otros;BOMBA GAS;BOMBA GAS CHRYSLER STRATUS PT CRUISER LIBERTY 4 Y 6 CIL 0410;N/A
Otros;Bobina ignicion;Bobina ignicion Ford Ranger, Escort, Mazda, Lobo (FD487);N/A
Otros;Sensor cigüeñal;Sensor cigüeñal Dodge Ram, DuraNEGRO, T/Manual, 97-03 6 y 8 Cil;N/A
Tornillos;SUJETADOR MARIPOSA;SUJETADOR MARIPOSA CON TORNILLO 1/8;N/A
Otros;Capuchon largo;Capuchon largo derecho 1-1/8-16;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB EMP 12 X 1.1/2;N/A
Otros;4 CASQUILLO;4 CASQUILLO 14-1.25 X 3/8 NPT LARGO;N/A
Pijas;PIJA K-LATH;PIJA K-LATH P/BROCA 8 X 1/2 GALAXY;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA 5/16-18;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA EMP 1/4-20;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON INOXIDABLE-304 1/4 X 1.3/4;N/A
Otros;PERNO AGRICOLA;PERNO AGRICOLA 1 1/8 X 4-1/2;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 1/2 X 2.1/2;N/A
Varillas;VARILLA G-5;VARILLA G-5 ROSCA GALVANIZADA 3/8-16 X 1MT;N/A
Otros;"LLAVE MIXTA;"LLAVE MIXTA HANDY M13;1/2"" - E-16"
Otros;M 22;M 22 x 1.5 x 100mm, Eje Rockwell Rin Acero;N/A
Otros;"LLAVE MIXTA;"LLAVE MIXTA HANDY M25;31/32"" - E-32"
Otros;ROND MM;ROND MM PRESION NEGRA M18;N/A
Otros;MANERAL METALICO;MANERAL METALICO P/INSERTO M5;N/A
Otros;1/2;1/2;20 DEL/TRAS Suburban|20 X 2 TRAS D-250, RAM 94-96|20 DEL/TRAS Maverick,Must.F-100/150 39-83|20 DEL/TRAS Maverick,Must.F-100/150|20 TRAS Escort, Mustang (USA)|20 TRAS Grand Marquis|20 DEL Massey ferguson 165
Tuercas;TUERCA AUTOMOTRIZ;TUERCA AUTOMOTRIZ TUNER M12-1.25 10 DIENTES;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 5/8 X 2;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC GALVANIZADA 7/16-14;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M16 X 40;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA 12 X 2.1/2;N/A
Tornillos;TORNILLO SOCKET;TORNILLO SOCKET CABEZA/CILINDRO MM CC;M 27 X 70|M 27 X 80|M 27 X 90|M 33 X 80|M 33 X 100|M 42 X 100|M 42 X 110|M 42 X 120|M 42 X 130
Otros;SENSOR VELOCIDAD;SENSOR VELOCIDAD FORD AEROSTAR, BRONCO, RANGER (ALS177);N/A
Otros;M12 x;M12 x 1.25 x 33 mm Datsun 84-92 Tsuru I, II Del.;N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 1/8 X 1;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 3/4 X 6-1/2;N/A
Otros;m12 x;m12 x 1.5 mm X 54mm Cavalier, Century, Malibu;N/A
Otros;62 CASQUILLO;62 CASQUILLO 1/4 NC X 1/2 NC;N/A
Tuercas;"TUERCA CROMADA;"TUERCA CROMADA RIN DE MAGNESIO ""UNIVERSAL"" 1/2-20";N/A
Otros;BOMBA GAS;BOMBA GAS UNIVERSAL 7LBS 12V 4, 6 Y 8 CILINDROS;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL P/BROCA CABEZA/ACC INT 14 X 2 GALAXY;N/A
Otros;"PUNTA PARA;"PUNTA PARA DESARMADOR CUADRO;#1 x 1"""|#2 x 1"""|#1 x 2"""|#2 x 2"""|#3 x 2"""
Otros;GRASERA TROP;GRASERA TROP 1/4-28 UNF 45;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 7/8 X 6;N/A
Pijas;PIJA TABLARROCA-BROCA;PIJA TABLARROCA-BROCA 6 X 2;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA EMP 14 X 2 GALAXY;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 10-24 X 1;N/A
Rondanas;RONDANA ESTRELLA;RONDANA ESTRELLA EXTERIOR #8;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA 1-1/8-7;N/A
Tuercas;TUERCA MM;TUERCA MM INS NYLON NC M6-1.00;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB EMP 12 X 3;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA 12 X 1;N/A
Herramientas;"1/2;"1/2;20 x 1.562"" C-30, Doble Rodado CHEVROLET"
Tuercas;TUERCA ESTRELLA;TUERCA ESTRELLA G2 M3-0.50;N/A
Pijas;PIJA K-LATH;PIJA K-LATH BROCA  10 X 1 GALAXY;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 7/16-14 X 3-1/2;N/A
Otros;NUDO EMP;NUDO EMP 1/8;N/A
Pijas;PIJA CABEZA/FIJADORA;PIJA CABEZA/FIJADORA PARA MADERA 8 x 1-1/2;N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 1/4 X 1-1/2;N/A
Birlos;BIRLO AUTOMOTRIZ;BIRLO AUTOMOTRIZ M12-1.50 X 23.50 GR8;N/A
Tuercas;TUERCA CASTILLO;TUERCA CASTILLO 1.1/8-12 NF TROPICALIZADA;N/A
Tuercas;TUERCA MM;TUERCA MM INS NYLON NC M18-2.50;N/A
Otros;M14 x;M14 x 1.5 x 92mm Minibus Chevrolet 92-93;N/A
Pijas;PIJA MADERA;PIJA MADERA PH PLANA NGRA EMP 14 X 1-1/2;N/A
Tuercas;TUERCA AUTOMOTRIZ;TUERCA AUTOMOTRIZ CAMPANA FLOTANTE M14-1.50;N/A
Otros;M22 x;M22 x 1.5 x 108 mm Unimount;N/A
Varillas;VARILLA ROSCAAD;VARILLA ROSCAAD CL 8.8 MM;M6-1.00 x 1 Mt.|M8-1.25 x 1 Mt.|M10-1.50 x 1 Mt.|M12-1.75 x 1 Mt.|M14-2.00 x 1 Mt.|M16-2.00 x 1 Mt.|M18-2.50 x 1 Mt.|M20-2.50 x 1 Mt.|M22-2.50 x 1 Mt.|M24-3.00 x 1 Mt.|M27-3.00 x 1 Mt.|M30-3.50 x 1 Mt.|M33-3.50 x 1 Mt.|M36-4.00 X 1 Mt.
Otros;CHAVETA GALVANIZADA;CHAVETA GALVANIZADA 1/16 X 1-1/4;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA LATON 5/16;N/A
Otros;CHAVETA INOXIDABLE-304;CHAVETA INOXIDABLE-304 3/16 X 1;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 3/8 X 3.1/2;N/A
Otros;VALVULA IAC;VALVULA IAC CHRYSLER CONCORDE, TOWN & COUNTRY (99-03);N/A
Otros;9/16-18 x;9/16-18 x 2 1/2, Cam. F-250, 92/98, R. Delantera;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB GOTA COMBI 5/32 X 1.1/4;N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 1/8 X 1-1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 5/16-18 X 2.1/2;N/A
Otros;"M12 x;"M12 x 1.5 x 1.181"". VW, Golf, Jetta, Sedam, Rin Especial 74-03";N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA 14 X 1;N/A
Otros;Bobina ignicion,;Bobina ignicion, Dodge Spirit, Shadow, Ram, Jeep Cherokee (UF97);N/A
Otros;INSERTO DE;INSERTO DE ACERO INOXIDABLE-304 M8-1.25 X 2.0;N/A
Tuercas;TUERCA CASTILLO;TUERCA CASTILLO 5/8-18 NF TROPICALIZADA;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1/2 X 2;N/A
Otros;12 M;12 M X 1.5 Cutlass, Century, Cavalier. ***;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1-8 X 8;N/A
Otros;"7/8""-14 X;"7/8""-14 X 107.95 MM";N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA CABEZA/ACC INT PLUS 14 X 1.1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/8-11 X 4.1/2;N/A
Otros;37 CASQUILLO;37 CASQUILLO 6-1.00 X 3/8 NC LARGO;N/A
Otros;5 CASQUILLO;5 CASQUILLO 10-1.50 X 14-2.00 LARGO;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC GALVANIZADA 7/8-9;N/A
Tuercas;TUERCA MARIPOSA;TUERCA MARIPOSA ESTAMPADA 8-32;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M12 X 60;N/A
Otros;ROND PRESION;ROND PRESION 5/8;N/A
Otros;VALVULA IAC;VALVULA IAC HONDA ACURA, CIVIC, CIVIC DEL SOL (96-01);N/A
Otros;Bobina ignicion;Bobina ignicion VW Golf, Beetle, Jetta, Lupo, Crossfox, Gol (UF277);N/A
Rondanas;RONDANA PLANA;RONDANA PLANA F436 NGRA 3/8;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 3/8 X 1-1/2;N/A
Otros;BOMBA GAS;BOMBA GAS FORD EXPLORER RANGER F150 4, 6 Y 8CIL 9499;N/A
Otros;INSERTO DE;INSERTO DE ACERO INOXIDABLE-304 M4-0.70 X 1.0;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 7/8 X 9;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 9/16 X 4.1/2;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA 10 X 2.1/2;N/A
Otros;ROND MM;ROND MM PRESION NEGRA M4;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON 3/8-16 X 5;N/A
Tuercas;TUERCA AUTOMOTRIZ;TUERCA AUTOMOTRIZ TUNER M12-1.50 6 DIENTES;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA EMP 7/16-14;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 5/16 X 4.1/2;N/A
Otros;"1 1/8-16;"1 1/8-16 x 3 "" Dina 861 Kenworth Del Ring Alum";N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 12 X 3;N/A
Otros;"Flexometro Tradicional;"Flexometro Tradicional 5M x 3/4"" Handycraft";N/A
Otros;M22 x;M22 x 1.5 x 93.49mm Extrapesado;N/A
Otros;86CASQUILLO 4-0.70;86CASQUILLO 4-0.70 x 6-1.00;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA 8 X 3/4;N/A
Otros;m 12;m 12 x1.5 mm x 1 15/32TRAS Atos by Dodge;N/A
Rondanas;RONDANA ESTRELLA;RONDANA ESTRELLA EXTERIOR 3/4;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1/2-13 X 5;N/A
Otros;CUTTER AUTOMATICO;CUTTER AUTOMATICO 3 NAVAJAS;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL GR-5 TROP NC 1/2-13 X 1;N/A
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 10 X 40;N/A
Otros;Bobina ignicion;Bobina ignicion Ford F150, F250, F350 HD izquierda (UF639);N/A
Otros;REMACHADORA DE;REMACHADORA DE ALUMINIO C-40 REMACHES;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL GR-8 FINO;1/4-28 x 1/2|1/4-28 x 3/4|1/4-28 x 1|1/4-28 x 1-1/4|1/4-28 x 1-1/2|1/4-28 x 2|1/4-28 x 2-1/2|1/4-28 x 3|1/4-28 x 3-1/2|1/4-28 x 4|5/16-24 x 3/4|5/16-24 x 1|5/16-24 x 1-1/4|5/16-24 x 1-1/2|5/16-24 x 2|5/16-24 x 2-1/2|5/16-24 x 3|5/16-24 x 3-1/2|5/16-24 x 4|3/8-24 x 3/4|3/8-24 x 1|3/8-24 x 1-1/4|3/8-24 x 1-1/2|3/8-24 x 2|3/8-24 x 2-1/2|3/8-24 x 2-3/4|3/8-24 x 3|3/8-24 x 3-1/2|3/8-24 x 4|7/16-20 x 1|7/16-20 x 1-1/4|7/16-20 x 1-1/2|7/16-20 x 2|7/16-20 x 2-1/2|7/16-20 x 3|7/16-20 x 3-1/2|7/16-20 x 4|1/2-20 x 1|1/2-20 x 1-1/4|1/2-20 x 1-1/2|1/2-20 x 1-3/4|1/2-20 x 2|1/2-20 x 2-1/4|1/2-20 x 2-1/2|1/2-20 x 3|1/2-20 x 3-1/2|1/2-20 x 4|1/2-20 x 4-1/2|1/2-20 x 5|1/2-20 x 5-1/2|1/2-20 x 6|1/2-20 x 7|1/2-20 x 8|9/16-18 x 1|9/16-18 x 1-1/4|9/16-18 x 1-1/2|9/16-18 x 2|9/16-18 x 2-1/2|9/16-18 x 3|9/16-18 x 3-1/2|9/16-18 x 4|9/16-18 x 4-1/2|9/16-18 x 5|9/16-18 x 6|5/8-18 x 1-1/2|5/8-18 x 1-3/4|5/8-18 x 2|5/8-18 x 2-1/2|5/8-18 x 3|5/8-18 x 3-1/2|5/8-18 x 4|5/8-18 x 4-1/2|5/8-18 x 5|5/8-18 x 5-1/2|5/8-18 x 6|5/8-18 x 7|5/8-18 x 8|5/8-18 x 9|5/8-18 x 10|3/4-16 x 1-1/2|3/4-16 x 2|3/4-16 x 2-1/2|3/4-16 x 3|3/4-16 x 3-1/2|3/4-16 x 4|3/4-16 x 4-1/2|3/4-16 x 5|3/4-16 x 5-1/2|3/4-16 x 6|3/4-16 x 7|3/4-16 x 8|3/4-16 x 9|3/4-16 x 10|7/8-14 x 2|7/8-14 x 2-1/2|7/8-14 x 3|7/8-14 x 3-1/2|7/8-14 x 4|7/8-14 x 4-1/2|7/8-14 x 5|7/8-14 x 6|7/8-14 x 7|7/8-14 x 8|7/8-14 x 9|7/8-14 x 10|1-14 x 2|1-14 x 2-1/2|1-14 x 3|1-14 x 3-1/2|1-14 x 4|1-14 x 4-1/2|1-14 x 5|1-14 x 5-1/2|1-14 x 6|1-14 x 7|1-14 x 8|1-14 x 9|1-14 x 10|1-14 x 11|1-14 x 12
Otros;CUENTA HILOS;CUENTA HILOS;INOXIDABLE-430 - 36 laminas
Varillas;VARILLA ACME-LARGO;VARILLA ACME-LARGO 1 MT 1-3/4-4;N/A
Herramientas;MACHUELO P/INSERTO;MACHUELO P/INSERTO M2 HSS NFF M10-1.0;N/A
Otros;PERNO RANURADO;PERNO RANURADO 1/4 x 1.1/4;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA 1-1/4-7;N/A
Tuercas;TUERCA HEX;TUERCA HEX IZQUIERDA GR2 3/8-16;N/A
Otros;Martillo Semipulido;Martillo Semipulido Uña Recta 16 oz Handycraft;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 10 X 6;N/A
Otros;"7/8-14 x;"7/8-14 x 3.375"" Volvo 7550 99-06 R.Delantera";N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB 6 X 2;N/A
Otros;Sensor map;Sensor map Ford Fiesta, Ka, Courier, Ikon, 98-03;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA F436 NGRA 5/16;N/A
Otros;SENSOR TEMPERATURA;SENSOR TEMPERATURA CHEVROLET ASTRA, CAMARO (TX133);N/A
Birlos;CONO PARA;CONO PARA BIRLO DE FLECHA 6136-6137- 5/8;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA KG 5/16;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1-1/8 X 3;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/16-18 X 6;N/A
Tuercas;TUERCA REMACHABLE;TUERCA REMACHABLE T. AMERICANO TROP. 10-24;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 3/4 X 1.1/2;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 6 X 2;N/A
Tuercas;TUERCA ALTA;TUERCA ALTA G-2 NF NEGRA 7/8-14;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 8 X 1.3/4;N/A
Pijas;PIJA CABEZA/FIJADORA;PIJA CABEZA/FIJADORA PARA MADERA 8 x 1;N/A
Otros;CHAVETA INOXIDABLE-304;CHAVETA INOXIDABLE-304 1/16 X 1.1/4;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA EMP 14 X 7 GALAXY;N/A
Otros;REMACHE POP;REMACHE POP AS64LF D3/16 X L3/8 X R1/4;N/A
Tornillos;TORNILLO AUTORNILLOOSCANTE;TORNILLO AUTORNILLOOSCANTE PUNTA F 5/16 X 2-1/2;N/A
Pijas;PIJA P/CONCRETO;PIJA P/CONCRETO CAB. HEXAGONAL  1/4 x 3-1/4;N/A
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 12 X 50;N/A
Otros;PUNTA P/DESARMADOR;PUNTA P/DESARMADOR COMBI;PHILLIPS#2 & Plana8-10
Tuercas;TUERCA MARIPOSA;TUERCA MARIPOSA ESTAMPADA 5/16-18;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA EMP 12 X 3/4;N/A
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 10 X 75;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 3/8-16 X 2;N/A
Otros;SENSOR OXIGENO;SENSOR OXIGENO MITSUBISHI MONTERO, HYUNDAI ATOS (01-14);N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 5/16-18 X 2;N/A
Otros;ROND PRESION;ROND PRESION NEGRA EMP 1.1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/16-18 X 5.1/2;N/A
Tornillos;Sensor maf;Sensor maf Ford Fusion, Econoline, Mustang, Lincoln NavigaTORNILLO, 11-17;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 7/16-14 X 1.1/2;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 14 X 4-1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC GALVANIZADA EMP 3/8-16;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 1/4-20 X 4;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 5/8 X 5.1/2;N/A
Otros;76 CASQUILLO;76 CASQUILLO 8-1.25 X 3/8-24 NF Corto;N/A
Otros;PERNO RANURADO;PERNO RANURADO 3/32 x 5/8;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1-8 X 4;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON 5/16-18 X 3.1/2;N/A
Varillas;"VARILLA B7-LARGO;"VARILLA B7-LARGO 12 PIES 2""-8";N/A
Pijas;PIJA MADERA;PIJA MADERA PH PLANA NGRA 8 X 2;N/A
Varillas;VARILLA B7-LARGO;VARILLA B7-LARGO 1 MT 1.7/8-8;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1/2 X 8;N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 3/32 X 1/2;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 1/2 X 10;N/A
Otros;"3/4-16 x;"3/4-16 x 3.656"" Pena Kenworth Caja Remolque 40-72 R.Tras";N/A
Herramientas;MACHUELO P/INSERTO;MACHUELO P/INSERTO M2 HSS M12-1.75;N/A
Tuercas;TUERCA MM;TUERCA MM HEX DIN NC M48-5.00;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 1/2-13 X 1.1/4;N/A
Herramientas;EXHIBIDOR BROCAS;EXHIBIDOR BROCAS PARA 700 PZS VACIO;N/A
Otros;CUERPO DE;CUERPO DE ACELERACIÓN VOLKSWAGEN BEETLE, GOLF 1.8, 2.0L 98-01;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 1/4-20 X 1.1/2;N/A
Otros;REMACHE POP;REMACHE POP INOXIDABLE SS58 5/32 X 1/2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 5/16-18 X 2;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 1/2 X 12;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 1/4-20 X 3;N/A
Otros;CHILILLO RANURADO;CHILILLO RANURADO 8 X 75;N/A
Tuercas;TUERCA MM;TUERCA MM HEX DIN NF M24-2.0;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 7/8-9 X 5-1/2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 5/16-18 X 3.1/2;N/A
Otros;NUDO EMP;NUDO EMP 1/2;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA CUADRO CHICO 8 X 3/4;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA KG 1.1/2;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 LIG 1 METRO NC 7/8-9;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 1/2-13 X 3;N/A
Otros;75 CASQUILLO;75 CASQUILLO 9/16-18 NF X 3/4-16 NF;N/A
