CLAVE;NOMBRE;$ LISTA;EMPAQUE;GRANEL;DESC
5160500300;TORNILLO HEX MAQUINA GALV EMP 7/16-14 X 3;22,75;50;350;83,00%
5160500360;TORNILLO HEX MAQUINA GALV EMP 7/16-14 X 3.1/2;25,32;40;280;83,00%
5160500400;TORNILLO HEX MAQUINA GALV EMP 7/16-14 X 4;29,24;40;0;83,00%
5160600100;TORNILLO HEX MAQUINA GALV EMP 1/2-13 X 1;14,8;80;640;83,00%
5160600120;TORNILLO HEX MAQUINA GALV EMP 1/2-13 X 1.1/4;16,9;75;600;83,00%
5160600160;TORNILLO HEX MAQUINA GALV EMP 1/2-13 X 1.1/2;18,78;65;520;83,00%
5160600200;TORNILLO HEX MAQUINA GALV EMP 1/2-13 X 2;22,54;55;440;83,00%
5160600260;TORNILLO HEX MAQUINA GALV EMP 1/2-13 X 2.1/2;26,54;45;360;83,00%
5160600300;TORNILLO HEX MAQUINA GALV EMP 1/2-13 X 3;30,05;40;320;83,00%
5160600360;TORNILLO HEX MAQUINA GALV EMP 1/2-13 X 3.1/2;33,99;35;280;83,00%
5160600400;TORNILLO HEX MAQUINA GALV EMP 1/2-13 X 4;37,93;30;240;83,00%
5160600460;TORNILLO HEX MAQUINA GALV EMP 1/2-13 X 4.1/2;43,98;25;200;83,00%
5160600500;TORNILLO HEX MAQUINA GALV EMP 1/2-13 X 5;46,45;25;200;83,00%
5160800120;TORNILLO HEX MAQUINA GALV EMP 5/8-11 X 1.1/4;33,53;40;320;83,00%
5160800160;TORNILLO HEX MAQUINA GALV EMP 5/8-11 X 1.1/2;33,21;35;280;83,00%
5160800200;TORNILLO HEX MAQUINA GALV EMP 5/8-11 X 2;38,34;30;240;83,00%
5160800260;TORNILLO HEX MAQUINA GALV EMP 5/8-11 X 2.1/2;44,41;25;200;83,00%
5160800300;TORNILLO HEX MAQUINA GALV EMP 5/8-11 X 3;50,89;25;175;83,00%
5170200090;TORNILLO COCHE GR-2 GALV EMP 1/4-20 X 3/4;3,04;425;3400;83,00%
5170200100;TORNILLO COCHE GR-2 GALV EMP 1/4-20 X 1;3,27;350;2800;83,00%
5170200120;TORNILLO COCHE GR-2 GALV EMP 1/4-20 X 1.1/4;3,63;320;2560;83,00%
5170200160;TORNILLO COCHE GR-2 GALV EMP 1/4-20 X 1.1/2;3,9;250;2000;83,00%
5170200200;TORNILLO COCHE GR-2 GALV EMP 1/4-20 X 2;5,16;200;1600;83,00%
5170200260;TORNILLO COCHE GR-2 GALV EMP 1/4-20 X 2.1/2;5,95;150;1200;83,00%
